,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
10,"[1.10,2.21,3.31,4.42,5.52,6.62,7.73,8.83,9.93]","[0.99,4.65,10.76,19.09,29.46,41.70,58.12,76.68,94.15]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.11982939098867983,0.23965878197735968,0.18,0.8200000000000001,fil1,0.12,9.46971055033463,"[0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3732,41.639,5.668548015258439,1.0,355809.425,0.042483520781148074
11,"[1.08,2.15,3.23,4.30,5.38,6.46,7.53,8.61,9.69]","[0.93,4.36,10.12,17.99,27.81,39.43,55.08,72.81,89.54]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.1318123300875478,0.2516417210762276,0.192,0.808,fil1,0.12,9.46971055033463,"[0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.346,39.055,5.394397446473978,1.0,662346.125,0.04273170670268041
12,"[1.09,2.18,3.27,4.36,5.45,6.54,7.62,8.71,9.80]","[0.88,4.15,9.64,18.61,28.32,41.83,57.50,72.52,91.78]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.1437952691864158,0.26362466017509567,0.204,0.796,fil1,0.12,9.46971055033463,"[0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3295,36.963,4.630335665003899,1.0,454187.99,0.04255122380253498
13,"[1.09,2.17,3.26,4.34,5.43,6.52,7.60,8.69,9.77]","[0.84,4.69,10.28,17.81,28.87,40.16,55.29,72.38,91.29]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.1557782082852838,0.2756075992739636,0.216,0.784,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2862,32.664,2.479820049279757,1.0,225634.398,0.04213376327097557
14,"[1.10,2.20,3.30,4.40,5.50,6.60,7.70,8.80,9.90]","[1.15,4.49,9.85,18.47,29.46,42.63,57.83,74.91,93.75]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.1677611473841518,0.28759053837283166,0.228,0.772,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3443,40.151,3.450727341357756,1.0,111809.347,0.04132948572642114
15,"[1.09,2.19,3.28,4.38,5.47,6.57,7.66,8.75,9.85]","[1.09,4.27,10.42,19.01,28.18,40.85,57.74,74.48,92.90]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.1797440864830198,0.2995734774716996,0.24,0.76,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3299,40.574,5.601650126541041,1.0,69085.521,0.04023747169296446
16,"[1.09,2.18,3.27,4.36,5.45,6.54,7.63,8.72,9.80]","[1.04,4.08,9.97,18.22,28.66,41.15,55.55,74.17,92.22]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.19172702558188778,0.31155641657056765,0.252,0.748,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3024,39.364,4.453575718549416,1.0,58277.132,0.039121957320663474
17,"[1.09,2.17,3.26,4.34,5.43,6.51,7.60,8.68,9.77]","[1.00,4.57,10.56,17.51,29.18,41.51,55.68,73.96,91.68]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.20370996468075578,0.3235393556694356,0.264,0.736,fil1,0.12,9.46971055033463,"[0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03]","[0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3261,45.223,5.670545699752896,1.0,57900.298,0.03801606563573501
18,"[1.08,2.16,3.25,4.33,5.41,6.49,7.58,8.66,9.74]","[0.96,4.39,10.16,18.13,28.13,41.91,55.86,73.83,91.24]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.21569290377962377,0.33552229476830364,0.276,0.724,fil1,0.12,9.46971055033463,"[0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03]","[0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3441,50.749,7.18146559580231,1.0,64354.99,0.03693121648719221
19,"[1.09,2.19,3.28,4.38,5.47,6.57,7.66,8.76,9.85]","[0.92,4.23,9.80,18.75,28.70,42.32,58.17,73.77,93.46]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.22767584287849177,0.3475052338671716,0.288,0.712,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03]","[0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2876,44.59,5.925865975349734,1.0,78332.638,0.035820040596974766
20,"[1.09,2.18,3.28,4.37,5.46,6.55,7.65,8.74,9.83]","[0.89,4.72,10.40,18.12,29.27,42.73,56.31,73.76,93.17]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.23965878197735976,0.35948817296603963,0.3,0.7,fil1,0.12,9.46971055033463,"[0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02]","[0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2608,43.131,3.9632961996627785,1.0,103692.505,0.03480976016581421
21,"[1.11,2.21,3.32,4.42,5.53,6.63,7.74,8.84,9.95]","[1.16,4.56,10.06,18.74,29.82,43.16,58.62,76.09,95.48]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.25164172107622773,0.37147111206490757,0.312,0.688,fil1,0.12,9.46971055033463,"[0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2831,49.247,4.504057016345466,1.0,143703.546,0.03378813912014597
22,"[1.09,2.17,3.26,4.35,5.44,6.52,7.61,8.70,9.78]","[1.12,4.38,10.58,18.03,28.73,41.62,56.60,73.56,92.41]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.2636246601750957,0.38345405116377557,0.324,0.6759999999999999,fil1,0.12,9.46971055033463,"[0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02]","[0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2541,47.889,3.121943329195651,1.0,214856.74,0.03278372254755044
23,"[1.10,2.20,3.30,4.40,5.50,6.61,7.71,8.81,9.91]","[1.08,4.24,10.24,18.64,29.30,42.11,58.95,75.97,94.86]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.2756075992739637,0.39543699026264356,0.336,0.6639999999999999,fil1,0.12,9.46971055033463,"[0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02]","[0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2769,54.526,8.358103476659155,1.0,228454.255,0.03186089373366775
24,"[1.10,2.20,3.30,4.39,5.49,6.59,7.69,8.79,9.89]","[1.04,4.67,10.76,19.16,29.75,42.43,57.10,75.89,94.54]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.2875905383728317,0.40741992936151156,0.348,0.652,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02]","[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2502,52.236,4.806117009637659,1.0,175716.9,0.030929825451804727
25,"[1.10,2.19,3.29,4.39,5.49,6.58,7.68,8.78,9.88]","[1.00,4.51,10.39,18.53,28.81,42.82,57.36,75.95,94.39]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.2995734774716997,0.41940286846037955,0.359,0.641,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02]","[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2519,55.576,7.7101575143712795,1.0,113097.042,0.03001814009434969
26,"[1.10,2.19,3.29,4.39,5.49,6.58,7.68,8.78,9.87]","[0.97,4.36,10.06,19.10,29.36,41.62,57.71,76.14,94.41]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3115564165705677,0.43138580755924755,0.371,0.629,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02]","[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2453,57.904,9.391387073632933,1.0,78410.482,0.028923169666954296
27,"[1.10,2.20,3.29,4.39,5.49,6.59,7.68,8.78,9.88]","[0.94,4.79,10.61,18.56,29.95,42.16,58.15,76.44,94.56]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3235393556694357,0.44336874665811554,0.383,0.617,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02]","[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2609,67.01,11.075317736229506,1.0,58026.05,0.02763864416405576
28,"[1.10,2.20,3.30,4.39,5.49,6.59,7.69,8.79,9.89]","[1.18,4.66,10.32,19.18,29.19,42.76,58.67,76.85,94.83]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3355222947683037,0.45535168575698354,0.395,0.605,fil1,0.12,9.46971055033463,"[0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01]","[0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2687,76.136,16.059899102309988,1.0,45087.589,0.026176513250122213
29,"[1.09,2.17,3.26,4.34,5.43,6.51,7.60,8.68,9.77]","[1.15,4.52,10.02,18.65,28.41,41.66,57.21,74.99,92.60]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3475052338671717,0.46733462485585153,0.407,0.593,fil1,0.12,9.46971055033463,"[0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01]","[0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2336,75.729,16.19195396392958,1.0,36840.354,0.024453391890657043
30,"[1.10,2.20,3.30,4.40,5.50,6.60,7.70,8.80,9.90]","[1.12,4.41,10.60,19.32,29.12,42.36,57.87,75.56,95.35]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3594881729660397,0.4793175639547195,0.419,0.581,fil1,0.12,9.46971055033463,"[0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01]","[0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.1466,53.893,4.537668673971222,1.0,29556.497,0.022518655937528602
31,"[1.09,2.18,3.26,4.35,5.44,6.53,7.62,8.71,9.79]","[1.09,4.29,10.33,18.85,28.43,41.39,56.58,73.90,93.29]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3714711120649077,0.4913005030535875,0.431,0.569,fil1,0.12,9.46971055033463,"[0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00]","[0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.1234,54.138,4.923709570228771,1.0,25498.832,0.020452558817473935
32,"[1.10,2.21,3.31,4.41,5.52,6.62,7.72,8.83,9.93]","[1.06,4.73,10.93,18.47,29.18,43.72,59.11,76.59,96.07]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3834540511637757,0.5032834421524555,0.443,0.5569999999999999,fil1,0.12,9.46971055033463,"[0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.00,0.00]","[0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.1372,71.56,12.479173895388536,1.0,22847.229,0.018341073241803237
33,"[1.10,2.21,3.31,4.42,5.52,6.63,7.73,8.84,9.94]","[1.04,4.62,10.68,19.12,29.86,42.80,57.87,77.02,96.31]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.3954369902626437,0.5152663812513235,0.455,0.5449999999999999,fil1,0.12,9.46971055033463,"[0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00]","[0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0995,64.283,7.899965708669962,1.0,23052.588,0.016201510309431264
34,"[1.09,2.19,3.28,4.37,5.46,6.56,7.65,8.74,9.83]","[1.01,4.52,10.45,18.72,29.23,41.91,56.68,75.43,94.33]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.40741992936151167,0.5272493203501916,0.467,0.5329999999999999,fil1,0.12,9.46971055033463,"[0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00]","[0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0792,65.088,8.192311924381922,1.0,25264.903,0.014262788980154248
35,"[1.09,2.19,3.28,4.37,5.47,6.56,7.66,8.75,9.84]","[0.99,4.43,10.24,18.33,28.63,42.56,57.24,75.84,94.56]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.41940286846037966,0.5392322594490595,0.479,0.521,fil1,0.12,9.46971055033463,"[0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00]","[0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0691,73.588,14.04908410247263,1.0,28989.69,0.012313793316172958
36,"[1.09,2.19,3.28,4.38,5.47,6.57,7.66,8.76,9.85]","[0.97,4.34,10.03,18.97,29.29,41.68,57.77,76.22,94.77]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.43138580755924766,0.5512151985479274,0.491,0.509,fil1,0.12,9.46971055033463,"[0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00]","[0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0564,80.56,17.315594307498746,1.0,34946.578,0.010474165405600266
37,"[1.10,2.19,3.29,4.38,5.48,6.57,7.67,8.76,9.86]","[0.95,4.76,10.58,18.58,29.93,42.28,58.28,76.58,94.94]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.44336874665811565,0.5631981376467955,0.503,0.497,fil2,0.12,9.46971055033463,"[0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00]","[0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0499,100.119,22.834384827365824,1.0,43748.745,0.008745853846632436
38,"[1.10,2.19,3.29,4.38,5.48,6.57,7.67,8.77,9.86]","[1.18,4.66,10.36,19.19,29.31,42.86,58.76,74.99,95.09]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.45535168575698365,0.5751810767456635,0.515,0.485,fil2,0.12,9.46971055033463,"[0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00]","[0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0265,77.399,11.669336603574868,1.0,55642.021,0.0071295976456622395
39,"[1.11,2.22,3.32,4.43,5.54,6.65,7.76,8.86,9.97]","[1.15,4.56,10.89,18.79,29.91,43.42,59.21,77.20,97.31]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.46733462485585164,0.5871640158445315,0.527,0.473,fil2,0.12,9.46971055033463,"[0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]","[0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0172,74.482,7.952602326903974,1.0,67279.36,0.005551217320077025
40,"[1.10,2.19,3.29,4.38,5.48,6.57,7.67,8.76,9.86]","[1.13,4.45,10.63,18.34,29.20,42.40,57.82,75.40,95.05]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.47931756395471964,0.5991469549433994,0.539,0.46099999999999997,fil2,0.12,9.46971055033463,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]","[0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,-0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0109,73.526,7.996379360500425,1.0,77472.363,0.004076105230224116
41,"[1.11,2.21,3.32,4.43,5.54,6.64,7.75,8.86,9.96]","[1.10,4.85,10.40,18.91,29.78,42.92,59.90,77.54,97.19]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.49130050305358763,0.6111298940422675,0.551,0.44899999999999995,fil2,0.12,9.46971055033463,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]","[0.01,0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.0097,88.865,18.397181315313624,1.0,70375.224,0.0027307277924688983
