,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
0,"[1.09,2.18,3.27,4.36,5.44,6.53,7.62,8.71,9.80]","[1.12,4.36,9.54,18.49,27.45,40.65,55.86,72.86,91.45]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.0,0.11982939098867984,0.06,0.94,fil1,0.12,9.46971055033463,"[0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02]","[0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.1422,31.571,3.2625642315448116,1.0,50426.925,0.03038770740703073
1,"[1.10,2.21,3.31,4.42,5.52,6.63,7.73,8.83,9.94]","[1.06,4.12,10.51,19.46,28.29,41.20,59.15,75.92,94.16]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.011982939098867985,0.13181233008754784,0.072,0.928,fil1,0.12,9.46971055033463,"[0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03]","[0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.1962,38.38,6.9201396939393485,0.999,47338.581,0.03213191078609911
2,"[1.10,2.20,3.29,4.39,5.49,6.59,7.68,8.78,9.88]","[1.00,3.90,9.94,18.42,29.08,41.70,56.08,75.40,93.04]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.02396587819773597,0.1437952691864158,0.084,0.916,fil1,0.12,9.46971055033463,"[0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03]","[0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2006,36.042,4.7405978739057,0.999,47597.089,0.03366376061400298
3,"[1.09,2.18,3.27,4.37,5.46,6.55,7.64,8.73,9.82]","[0.95,4.63,9.41,17.45,27.56,42.16,56.16,74.91,91.99]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.03594881729660396,0.1557782082852838,0.096,0.904,fil1,0.12,9.46971055033463,"[0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04]","[0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2343,38.857,7.502037393852437,0.999,49268.788,0.0351378546223256
4,"[1.09,2.17,3.26,4.34,5.43,6.51,7.60,8.69,9.77]","[0.90,4.39,10.27,18.31,28.30,40.05,56.24,74.45,91.03]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.04793175639547194,0.16776114738415177,0.108,0.892,fil1,0.12,9.46971055033463,"[0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04]","[0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2646,40.721,6.811070407940177,0.999,52698.437,0.036533550114518774
5,"[1.10,2.20,3.30,4.40,5.50,6.60,7.70,8.80,9.90]","[0.85,4.16,9.75,19.15,29.01,43.02,56.32,74.05,93.52]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.05991469549433992,0.17974408648301976,0.12,0.88,fil1,0.12,9.46971055033463,"[0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03]","[0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2312,32.623,3.1938739510512533,1.0,57428.911,0.03794693295130956
6,"[1.09,2.18,3.27,4.36,5.45,6.54,7.63,8.72,9.81]","[0.80,3.90,10.43,17.99,29.34,40.51,55.78,72.90,91.67]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.0718976345932079,0.19172702558188776,0.132,0.868,fil1,0.12,9.46971055033463,"[0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03]","[0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.2463,32.628,2.762947537327847,1.0,70347.556,0.039353065065269546
7,"[1.10,2.21,3.31,4.42,5.52,6.63,7.73,8.83,9.94]","[1.17,4.55,9.93,18.79,30.01,43.35,58.61,75.62,94.21]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.08388057369207588,0.20370996468075572,0.144,0.856,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04]","[0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3316,40.965,4.463275845385036,1.0,87254.847,0.04041343459787457
8,"[1.10,2.19,3.29,4.38,5.48,6.57,7.67,8.76,9.86]","[1.10,4.28,10.59,17.73,28.36,41.03,58.15,74.65,92.68]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.09586351279094386,0.2156929037796237,0.156,0.844,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3266,38.807,6.1449682959910215,0.999,127210.573,0.041390776914678726
9,"[1.09,2.18,3.26,4.35,5.44,6.53,7.61,8.70,9.79]","[1.04,4.04,10.01,18.32,28.75,41.13,55.29,73.86,91.40]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.10784645188981185,0.22767584287849169,0.168,0.832,fil1,0.12,9.46971055033463,"[0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04]","[0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04]","[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]",0.3158,36.465,3.736730082978317,1.0,211019.68,0.04211220626144189
