,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
11,"[8.45,16.89,25.34,33.79,42.23]","[71.24,283.79,627.02,1070.95,1609.12]",S_1,/Users/yogehs/Downloads/SbcC/S/1/6.csv,5.0,85.27633553510957,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.02,0.05,0.39,0.32,0.09]","[0.01,-0.01,-0.04,-0.03,-0.02]","[0.00,0.01,0.01,0.01,0.00]",0.8744,72.101,6.078022199028177,0.999,3096.179,-0.014849002977990354
12,"[8.52,17.03,25.55,34.07,42.58]","[69.72,236.47,479.37,857.24,1389.99]",S_1,/Users/yogehs/Downloads/SbcC/S/1/7.csv,6.0,85.23837077423212,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.34,0.93,0.02,0.00,0.01]","[0.06,0.10,0.02,-0.00,-0.01]","[0.02,0.02,0.01,0.00,0.00]",1.3026,21.809,2.394007400504121,0.992,529.277,0.028174198576830473
13,"[8.45,16.90,25.34,33.79,42.24]","[71.00,281.95,630.94,1097.75,1650.79]",S_1,/Users/yogehs/Downloads/SbcC/S/1/7.csv,6.0,85.23837077423212,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.03,0.23,0.42,0.20]","[-0.00,-0.01,-0.02,-0.03,-0.02]","[0.00,0.00,0.01,0.00,0.00]",0.889,99.108,10.31381878958334,1.0,7731.164,-0.014341765505676903
14,"[8.55,17.10,25.64,34.19,42.74]","[69.73,241.38,492.75,878.61,1407.97]",S_1,/Users/yogehs/Downloads/SbcC/S/1/8.csv,7.0,85.6365248043793,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.34,0.92,0.01,0.00,0.00]","[0.06,0.10,0.01,0.00,-0.00]","[0.02,0.02,0.01,0.00,0.00]",1.2793,22.717,2.247478959290177,0.994,609.734,0.029549530770064492
15,"[8.49,16.98,25.47,33.96,42.45]","[71.22,284.65,637.15,1075.13,1562.98]",S_1,/Users/yogehs/Downloads/SbcC/S/1/8.csv,7.0,85.6365248043793,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.02,0.21,0.55,0.21]","[-0.01,-0.01,-0.03,-0.05,-0.03]","[0.00,0.00,0.02,0.00,0.01]",1.0013,54.543,6.8757769216232445,0.998,3467.818,-0.020962043956190914
16,"[8.45,16.90,25.35,33.81,42.26]","[63.82,220.04,497.68,923.11,1487.76]",S_1,/Users/yogehs/Downloads/SbcC/S/1/9.csv,8.0,84.54012888761449,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[1.81,0.52,0.00,0.00,0.00]","[0.12,0.06,-0.00,-0.00,-0.00]","[0.02,0.03,0.00,0.00,0.00]",2.327,31.571,4.606644964454794,0.993,422.086,0.028542291929277434
17,"[8.37,16.73,25.10,33.46,41.83]","[68.94,278.64,619.39,1040.71,1511.60]",S_1,/Users/yogehs/Downloads/SbcC/S/1/9.csv,8.0,84.54012888761449,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.02,0.03,0.22,0.53,0.12]","[-0.01,-0.01,-0.03,-0.05,-0.02]","[0.00,0.00,0.02,0.01,0.00]",0.9235,52.242,6.663535467322326,0.998,3001.796,-0.0227304320182767
18,"[8.46,16.92,25.38,33.85,42.31]","[65.17,226.09,479.91,841.12,1302.46]",S_1,/Users/yogehs/Downloads/SbcC/S/1/10.csv,9.0,84.61315283841498,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[1.12,0.31,0.05,0.05,0.00]","[0.12,0.06,0.03,0.02,0.00]","[0.02,0.02,0.00,0.00,0.01]",1.5346,18.913,1.24611215628195,0.996,532.045,0.041309289479030675
19,"[8.39,16.77,25.16,33.54,41.93]","[69.66,276.83,623.56,1083.37,1628.17]",S_1,/Users/yogehs/Downloads/SbcC/S/1/10.csv,9.0,84.61315283841498,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.19,0.14,0.03,0.53,0.18]","[-0.02,-0.02,-0.01,-0.04,-0.02]","[0.00,0.00,0.01,0.00,0.00]",1.0712,100.371,11.148846902967454,0.999,9015.385,-0.019458939561110118
20,"[8.48,16.96,25.45,33.93,42.41]","[68.11,236.91,465.86,800.15,1265.22]",S_1,/Users/yogehs/Downloads/SbcC/S/1/11.csv,10.0,84.8506136700952,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.31,0.63,0.08,0.01,0.01]","[0.07,0.09,0.03,0.01,-0.01]","[0.02,0.01,0.01,0.00,0.01]",1.0414,16.679,1.2072360540982383,0.994,609.535,0.03190440675044335
